Feature,Importance
cat__Driver_Jay Sauter,3.2748440757308945e-05
cat__Track_Mansfield Motorsports Park,3.264465297107807e-05
cat__Driver_Jake Garcia,3.26426019940951e-05
cat__Team_Orleans Racing,3.2618213925326555e-05
cat__Driver_Travis Kvapil,3.2523957613294746e-05
cat__Team_Evans Motorsports,3.198991833160438e-05
cat__Driver_Lake Speed,3.171568990657618e-05
cat__Team_Hattori Racing Enterprises,3.1652750823784074e-05
cat__Team_Leland Colvin (Owner),3.1202943846617816e-05
cat__Team_B.R. Waller (Owner),3.09168471124705e-05
cat__Driver_Josh Williams,3.076246279799157e-05
cat__Driver_Parker Kligerman,3.057209794788618e-05
cat__Track_Bridgehampton Race Circuit,3.0528850555789195e-05
cat__Team_Precision Products Racing,3.052771346945223e-05
cat__Team_Wyler Racing,3.0486057821195625e-05
cat__Team_Hylton Engineering,3.0324075449821873e-05
cat__Driver_Rick Crawford,3.0200496777806102e-05
cat__Team_DeWitt Racing,3.0147183538235057e-05
cat__Driver_Larry Pearson,3.0113258613531683e-05
cat__Team_Ken Schrader Racing,2.9982843974938522e-05
cat__Team_Brett Bodine Racing,2.9884636134180045e-05
cat__Driver_Marty Robbins,2.9833145978007955e-05
cat__Driver_Bobby Johns,2.9782282351475395e-05
cat__Driver_Jimmy Hensley,2.9749704972084834e-05
cat__Team_Cale Yarborough Motorsports,2.972927428990201e-05
cat__Driver_Tanner Gray,2.9454316064135418e-05
cat__Team_Frank Christian (Owner),2.9345422578235592e-05
cat__Team_Ted Chester (Owner),2.931288446406042e-05
cat__Team_RahMoc Enterprises,2.9287410104205138e-05
cat__Driver_Timothy Peters,2.916751449991464e-05
cat__Driver_Jimmie Lewallen,2.885749573233375e-05
cat__Team_Gordon Racing,2.8750729704244638e-05
cat__Team_Ratus Walters (Owner),2.8593131225843447e-05
cat__Driver_Lloyd Moore,2.838942173209185e-05
cat__Track_Oakland Stadium,2.835723722810919e-05
cat__Team_Tommy Baldwin Racing,2.826998910330219e-05
cat__Team_SABCO Racing,2.818546308854046e-05
cat__Driver_Ryan Truex,2.806740765375827e-05
cat__Driver_William Sawalich,2.798767633182419e-05
cat__Driver_Matt Tifft,2.7965296027054165e-05
cat__Team_Buckshot Racing,2.7964669078876808e-05
cat__Team_Max Berrier (Owner),2.779790722876343e-05
cat__Team_Joe Bessey Racing,2.777658895121335e-05
cat__Team_Holman Moody,2.7761152131874566e-05
cat__Team_McDuffie Racing,2.7717171254179294e-05
cat__Team_Beau Morgan (Owner),2.7705788421739353e-05
cat__Driver_Johnny Allen,2.763261845680862e-05
cat__Driver_Darel Dieringer,2.752997310924015e-05
cat__Driver_Dean Thompson,2.7510548162943415e-05
cat__Driver_Hank Parker Jr.,2.7469648334400696e-05
